name,land.allocation,harvested.land,yield,expectedYield,expectedPrice,cost,expectedProfit,shareWeight,year,scenario
wetland_New Mexico,120.0834,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_New Mexico,120.0834,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_New Mexico,120.0834,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_New Mexico,120.0834,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_New Jersey,422.12592,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_New Jersey,422.12592,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_New Jersey,422.12592,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_New Jersey,422.12592,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_New Hampshire,153.99063,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_New Hampshire,153.99063,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_New Hampshire,153.99063,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_New Hampshire,153.99063,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Nevada,183.57903,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Nevada,183.57903,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Nevada,183.57903,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Nevada,183.57903,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Nebraska,489.74229,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Nebraska,489.74229,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Nebraska,489.74229,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Nebraska,489.74229,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Montana,602.15139,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Montana,602.15139,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Montana,602.15139,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Montana,602.15139,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Missouri,371.19816,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Missouri,371.19816,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Missouri,371.19816,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Missouri,371.19816,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Mississippi,1792.15569,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Mississippi,1792.15569,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Mississippi,1792.15569,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Mississippi,1792.15569,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Minnesota,4158.3969,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Minnesota,4158.3969,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Minnesota,4158.3969,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Minnesota,4158.3969,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Michigan,2895.24348,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Michigan,2895.24348,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Michigan,2895.24348,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Michigan,2895.24348,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Massachusetts,258.39396,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Massachusetts,258.39396,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Massachusetts,258.39396,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Massachusetts,258.39396,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Maryland,333.87489,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Maryland,333.87489,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Maryland,333.87489,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Maryland,333.87489,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Maine,1030.83291,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Maine,1030.83291,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Maine,1030.83291,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Maine,1030.83291,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Louisiana,3643.73568,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Louisiana,3643.73568,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Louisiana,3643.73568,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Louisiana,3643.73568,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Kentucky,110.23758,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Kentucky,110.23758,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Kentucky,110.23758,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Kentucky,110.23758,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Kansas,184.73733,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Kansas,184.73733,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Kansas,184.73733,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Kansas,184.73733,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Iowa,271.63872,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Iowa,271.63872,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Iowa,271.63872,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Iowa,271.63872,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Indiana,141.88698,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Indiana,141.88698,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Indiana,141.88698,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Indiana,141.88698,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Illinois,245.39256,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Illinois,245.39256,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Illinois,245.39256,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Illinois,245.39256,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Idaho,195.56073,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Idaho,195.56073,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Idaho,195.56073,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Idaho,195.56073,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Georgia,2433.03894,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Georgia,2433.03894,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Georgia,2433.03894,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Georgia,2433.03894,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Florida,5275.83159,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Florida,5275.83159,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Florida,5275.83159,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Florida,5275.83159,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_District of Columbia,0.21501,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_District of Columbia,0.21501,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_District of Columbia,0.21501,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_District of Columbia,0.21501,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Delaware,122.91885,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Delaware,122.91885,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Delaware,122.91885,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Delaware,122.91885,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Connecticut,116.74737,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Connecticut,116.74737,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Connecticut,116.74737,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Connecticut,116.74737,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Colorado,414.93276,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Colorado,414.93276,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Colorado,414.93276,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Colorado,414.93276,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_California,348.45957,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_California,348.45957,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_California,348.45957,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_California,348.45957,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Arkansas,1167.49395,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Arkansas,1167.49395,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Arkansas,1167.49395,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Arkansas,1167.49395,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Arizona,124.60428,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Arizona,124.60428,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Arizona,124.60428,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Arizona,124.60428,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
wetland_Alabama,1056.89295,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
wetland_Alabama,1056.89295,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
wetland_Alabama,1056.89295,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
wetland_Alabama,1056.89295,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
water_Wyoming,163.85112,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
water_Wyoming,163.85112,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
water_Wyoming,163.85112,NA,NA,NA,NA,NA,12872995,1,2020,Reference_Perfect_PCHES
water_Wyoming,163.85112,NA,NA,NA,NA,NA,12872995,1,2050,Reference_Perfect_PCHES
water_Wisconsin,2938.41369,NA,NA,NA,NA,NA,12872995,1,2010,Reference_Perfect_PCHES
water_Wisconsin,2938.41369,NA,NA,NA,NA,NA,12872995,1,2015,Reference_Perfect_PCHES
